,precip_norm,Location,forecast_day,latitude,longitude,name,State
125,-1.176,US_IA,7,41.878003,-93.097702,Iowa,IA
126,-2.677,US_IA,8,41.878003,-93.097702,Iowa,IA
127,-2.639666666666667,US_IA,9,41.878003,-93.097702,Iowa,IA
128,-0.09,US_KS,0,39.011902,-98.484246,Kansas,KS
129,-0.614,US_KS,3,39.011902,-98.484246,Kansas,KS
130,-0.35200000000000004,US_KS,4,39.011902,-98.484246,Kansas,KS
131,0.3843333333333335,US_KS,5,39.011902,-98.484246,Kansas,KS
132,0.9243333333333331,US_KS,6,39.011902,-98.484246,Kansas,KS
133,-1.0146666666666664,US_KS,7,39.011902,-98.484246,Kansas,KS
134,-0.9233333333333331,US_KS,8,39.011902,-98.484246,Kansas,KS
135,-1.2753333333333332,US_KS,9,39.011902,-98.484246,Kansas,KS
136,-9.909,US_KY,0,37.839333,-84.270018,Kentucky,KY
137,-1.9599999999999997,US_KY,3,37.839333,-84.270018,Kentucky,KY
138,-1.7870000000000004,US_KY,4,37.839333,-84.270018,Kentucky,KY
139,-0.21066666666666667,US_KY,5,37.839333,-84.270018,Kentucky,KY
140,9.151,US_KY,6,37.839333,-84.270018,Kentucky,KY
141,21.368000000000002,US_KY,7,37.839333,-84.270018,Kentucky,KY
142,19.986,US_KY,8,37.839333,-84.270018,Kentucky,KY
143,-3.7006666666666663,US_KY,9,37.839333,-84.270018,Kentucky,KY
144,-2.516,US_LA,0,31.244823,-92.145024,Louisiana,LA
145,-3.825333333333333,US_LA,3,31.244823,-92.145024,Louisiana,LA
146,-2.645666666666666,US_LA,4,31.244823,-92.145024,Louisiana,LA
147,-0.5033333333333334,US_LA,5,31.244823,-92.145024,Louisiana,LA
148,0.06900000000000017,US_LA,6,31.244823,-92.145024,Louisiana,LA
149,2.348,US_LA,7,31.244823,-92.145024,Louisiana,LA
150,6.009666666666666,US_LA,8,31.244823,-92.145024,Louisiana,LA
151,9.402666666666667,US_LA,9,31.244823,-92.145024,Louisiana,LA
152,-3.6549999999999994,US_ME,0,45.253783,-69.445469,Maine,ME
